Profile_URL,scholar_id,name,affiliation,total_cites,h_index,i10_index,fields
https://scholar.google.com/citations?hl=en&user=-Me9ER8AAAAJ,"""-Me9ER8AAAAJ""",Per Angelstam,Inland Norway University of Applied Sciences,22119,76,229,"sustainability science, landscape ecology, conservation biology, collaborative learning"
https://scholar.google.com/citations?hl=en&user=S6wvrZYAAAAJ,"""S6wvrZYAAAAJ""",Björn Reineking,"Directeur de recherche, INRAE, Grenoble",22041,41,75,"Mountain ecosystems, Landscape ecology, Modelling"
https://scholar.google.com/citations?hl=en&user=27c2SekAAAAJ,"""27c2SekAAAAJ""",James Wickham,U.S. Environmental Protection Agency,21278,54,103,"Environment, landscape ecology, remote sensing, GIS"
https://scholar.google.com/citations?hl=en&user=OuZJjGgAAAAJ,"""OuZJjGgAAAAJ""",Thomas O. Crist,"Professor of Biology, Miami University, Oxford, OH",20541,55,94,"biodiversity, landscape ecology, agricultural ecology, conservation biology"
https://scholar.google.com/citations?hl=en&user=FkXb8ncAAAAJ,"""FkXb8ncAAAAJ""",Maj Rundlöf,"Department of Biology, Lund university",20234,57,98,"ecology, biodiversity, conservation, landscape ecology, pollination"
https://scholar.google.com/citations?hl=en&user=Mf2KXncAAAAJ,"""Mf2KXncAAAAJ""",Roy Haines-Young,"Emeritus Professor of Environmental Management, University of Nottingham",20067,57,120,"landscape ecology, ecosystem services, science-policy interface, mapping ecosystem services"
https://scholar.google.com/citations?hl=en&user=MnKODIAAAAAJ,"""MnKODIAAAAAJ""",Tobias Plieninger,University of Kassel & Georg-August-University Göttingen,19892,77,183,"Sustainability science, Landscape ecology, Agroforestry, Ecosystem services, Social-ecological systems"
https://scholar.google.com/citations?hl=en&user=uwKZaKIAAAAJ,"""uwKZaKIAAAAJ""",Christina Grozinger,"Department of Entomology, Center for Pollinator Research, Huck Institutes of the Life Sciences",19690,61,147,"Pollinators, Behavioral Ecology, Insect Physiology, Genomics, Landscape Ecology"
https://scholar.google.com/citations?hl=en&user=xbdKfBAAAAAJ,"""xbdKfBAAAAAJ""",Yves Carriere,"Professor, University of Arizona, Tucson",19662,70,178,"Insect Ecology, Entomology, Integrated Pest Management, Landscape ecology, Resistance management"
https://scholar.google.com/citations?hl=en&user=oeJ99BsAAAAJ,"""oeJ99BsAAAAJ""",Ülo Mander,University of Tartu,19385,70,242,"Physical Geography, Ecological Engneering, Landscape Ecology"
